,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
14464,192880,0.228,0.665,0.89,0.0,1,0.122,-2.39,1,0.1969999999999999,139.94299999999998,4,0.32
16434,322266,0.29,0.68,0.64,0.0059299999999999,1,0.124,-6.691,0,0.0336,105.981,4,0.738
2046,181066,0.176,0.631,0.69,0.0,2,0.121,-6.676,1,0.0531,94.574,4,0.938
13830,181506,0.00129,0.614,0.85,0.0,1,0.357,-5.497999999999999,0,0.0369,124.999,4,0.736
8916,240341,0.711,0.611,0.466,0.000264,9,0.0847,-11.361,1,0.372,192.08,4,0.223
2288,276360,0.126,0.777,0.725,0.0108,5,0.0917,-9.012,1,0.047,128.349,4,0.851
1849,224673,0.275,0.7170000000000001,0.7190000000000001,0.0,10,0.254,-3.861,0,0.0905,95.032,4,0.5479999999999999
12932,254466,0.0023,0.978,0.787,4.6e-06,2,0.102,-2.79,1,0.0394,116.006,4,0.597
4275,196214,0.0181,0.684,0.816,0.0,10,0.0222,-5.211,0,0.0322,121.993,4,0.7020000000000001
3425,160893,0.0696,0.736,0.69,0.0,8,0.49,-5.712999999999999,1,0.152,92.956,4,0.624
16089,231729,0.212,0.847,0.5770000000000001,0.0,9,0.0627,-6.875,1,0.149,122.925,3,0.5589999999999999
8314,204000,0.4379999999999999,0.764,0.541,0.0011,7,0.0707,-7.496,1,0.109,172.12400000000002,4,0.5
4344,199849,0.0788,0.799,0.597,5.66e-06,5,0.1,-5.131,0,0.0611,110.001,4,0.419
2396,218360,0.3,0.725,0.583,0.000215,1,0.0665,-9.942,0,0.0424,79.984,4,0.765
4219,205226,0.599,0.545,0.59,0.0,9,0.0916,-7.257000000000001,0,0.0813,100.835,3,0.583
11989,174576,0.433,0.7170000000000001,0.4589999999999999,1.89e-05,9,0.109,-6.075,1,0.0412,100.011,4,0.575
2685,156106,0.528,0.6459999999999999,0.813,0.0078599999999999,9,0.178,-6.733,1,0.0434,129.378,4,0.711
17208,193466,0.283,0.865,0.73,0.0,6,0.0753,-2.813,0,0.373,90.096,4,0.8079999999999999
3148,266000,0.0716,0.8079999999999999,0.647,0.000466,11,0.205,-6.947,0,0.166,110.036,4,0.29
10665,221293,0.148,0.573,0.581,0.0,7,0.128,-3.325,1,0.0276,103.82,4,0.188
4665,166138,0.0369,0.736,0.879,0.000736,9,0.233,-3.782,0,0.0696,107.976,4,0.757
13756,194323,0.00153,0.638,0.642,4.07e-06,7,0.0826,-4.422,1,0.0639,165.984,4,0.6759999999999999
7432,254466,0.1639999999999999,0.652,0.809,0.0,5,0.175,-5.276,1,0.17,94.786,4,0.512
14684,199079,0.0285,0.564,0.807,0.0011099999999999,5,0.192,-4.561,1,0.0279999999999999,67.003,4,0.49
790,212400,0.0262,0.695,0.976,2.4100000000000003e-05,8,0.182,-6.982,1,0.0428,113.357,4,0.937
4035,174335,0.371,0.9,0.385,0.0,1,0.142,-12.189,0,0.435,99.964,4,0.488
18328,223546,0.00487,0.5539999999999999,0.772,6.6e-06,7,0.354,-4.821000000000001,0,0.0418,179.984,4,0.455
15432,235946,0.14,0.737,0.83,1.4800000000000002e-05,4,0.125,-5.928999999999999,0,0.069,92.988,4,0.58
12686,280878,0.342,0.481,0.396,0.309,1,0.121,-8.154,0,0.166,88.415,4,0.405
13676,220850,0.0112,0.578,0.6940000000000001,0.0,5,0.102,-5.351,1,0.0706,129.921,4,0.268
9546,264000,0.883,0.7070000000000001,0.302,0.0349,4,0.102,-13.582,1,0.0398,123.987,4,0.369
10264,212500,0.153,0.841,0.7979999999999999,3.33e-06,1,0.0618,-4.206,0,0.2289999999999999,95.948,4,0.591
7035,176535,0.0573,0.6829999999999999,0.857,0.0,4,0.115,-6.51,0,0.0717,115.067,4,0.265
13740,203160,0.196,0.767,0.488,0.0,7,0.0826,-5.524,0,0.138,93.014,4,0.429
4531,217981,0.377,0.73,0.809,0.0,4,0.0821,-5.55,0,0.1689999999999999,108.957,4,0.516
2239,216933,0.2269999999999999,0.6920000000000001,0.711,0.0,0,0.12,-7.497999999999999,0,0.0317,125.135,4,0.875
9724,230493,0.0583,0.688,0.835,2.87e-06,8,0.0795,-4.162,1,0.0911,84.85799999999999,4,0.88
11085,166307,0.8440000000000001,0.6459999999999999,0.242,0.7120000000000001,1,0.109,-15.27,1,0.0658,84.59299999999999,4,0.0743
1081,235000,0.0341,0.66,0.627,9.64e-05,6,0.385,-10.397,0,0.124,85.44,4,0.789
4827,169888,0.988,0.3939999999999999,0.00305,0.945,11,0.0934,-29.896,1,0.0574,72.62100000000001,4,0.114
16538,237076,0.0426,0.6,0.96,0.0,4,0.0882,-1.807,1,0.095,109.863,4,0.503
7317,157377,0.025,0.93,0.433,1.15e-06,0,0.0496,-17.418,1,0.369,122.011,4,0.923
11099,123000,0.8,0.745,0.265,0.959,11,0.0717,-10.678,1,0.0708,88.477,4,0.422
3225,158117,0.879,0.59,0.4589999999999999,0.19,10,0.163,-13.056,1,0.0311,128.754,4,0.444
9673,202626,0.00298,0.583,0.926,0.00101,0,0.121,-3.2960000000000003,1,0.0318,99.988,4,0.2
9281,258746,0.0935,0.8140000000000001,0.532,0.0,1,0.0715,-8.415,0,0.304,151.965,4,0.504
11683,193170,0.225,0.487,0.846,0.355,2,0.41,-4.016,1,0.0555,122.978,4,0.367
9089,240493,0.0054,0.895,0.522,0.347,6,0.122,-12.866,0,0.133,98.478,4,0.2689999999999999
16771,192426,0.0407,0.636,0.873,1.27e-06,0,0.0372,-4.672,0,0.071,165.071,4,0.908
8569,230666,0.192,0.612,0.738,0.0,0,0.0779,-6.648,1,0.0479,81.327,4,0.883
9857,194736,0.395,0.805,0.884,0.0,2,0.077,-6.551,1,0.278,113.991,4,0.76
11435,171911,0.8220000000000001,0.331,0.578,1.06e-05,5,0.17,-12.313,0,0.245,77.992,4,0.56
2128,444053,0.469,0.451,0.364,0.0,9,0.1969999999999999,-13.126,1,0.0436,154.20600000000002,4,0.298
16242,354842,0.629,0.531,0.476,0.00257,5,0.0801,-11.328,1,0.0345,130.232,4,0.239
6014,231666,0.0177,0.508,0.597,0.000856,4,0.091,-8.062999999999999,1,0.0396,81.98200000000001,4,0.185
8771,215327,0.0579,0.797,0.5,0.0,0,0.122,-6.964,0,0.0354,106.957,4,0.492
1099,121160,0.00178,0.674,0.789,0.0071,8,0.0754,-6.903,1,0.0676,129.804,4,0.918
971,218706,0.0399,0.631,0.7559999999999999,4.3700000000000005e-05,8,0.0924,-6.377999999999999,1,0.0376,137.039,4,0.6709999999999999
2510,231920,0.0066599999999999,0.745,0.466,0.35,4,0.272,-7.62,0,0.0864,123.889,4,0.303
13974,202346,0.131,0.706,0.88,0.00426,0,0.319,-4.981,1,0.0481,125.994,4,0.7390000000000001
17274,292400,0.8809999999999999,0.6809999999999999,0.163,7.62e-05,11,0.0688,-22.597,1,0.165,69.28399999999999,4,0.7709999999999999
11983,204004,0.701,0.423,0.3929999999999999,0.0,3,0.211,-5.909,1,0.0291,179.921,4,0.467
18464,256693,0.0639,0.742,0.945,0.165,5,0.131,-6.445,1,0.0428,112.977,4,0.742
6166,189834,0.00851,0.544,0.932,0.00811,10,0.157,-5.816,0,0.0679,125.954,4,0.337
2553,238381,0.0713,0.5589999999999999,0.6940000000000001,0.893,7,0.264,-4.957,1,0.0306,153.977,4,0.7879999999999999
18444,234693,0.1159999999999999,0.74,0.583,0.000774,9,0.238,-7.095,0,0.0312,101.011,4,0.346
5450,179600,0.539,0.637,0.472,0.0,5,0.446,-7.295,1,0.0271,129.236,4,0.349
4188,217506,0.7170000000000001,0.302,0.461,2.23e-06,7,0.57,-12.678,1,0.0547,175.799,4,0.521
18036,149506,0.00311,0.5589999999999999,0.541,0.0,3,0.375,-7.032,0,0.0649,89.087,4,0.486
5950,209615,0.972,0.0684,0.284,0.8859999999999999,6,0.127,-17.221,0,0.0443,77.65100000000001,4,0.0292
11141,102077,0.818,0.562,0.377,0.792,1,0.1159999999999999,-14.323,1,0.427,72.807,4,0.12
2131,147600,0.1639999999999999,0.805,0.5579999999999999,2.2e-05,0,0.0546,-5.226,1,0.0409999999999999,114.95,4,0.965
13349,200000,0.961,0.387,0.0454,0.93,3,0.107,-24.976,1,0.049,117.278,3,0.141
7960,248888,0.104,0.653,0.3339999999999999,0.0401,0,0.109,-11.338,1,0.0272,81.05199999999999,4,0.108
7513,198087,0.00294,0.956,0.544,0.0,1,0.104,-6.41,1,0.0822,104.011,4,0.127
7194,216000,0.285,0.574,0.616,4.4e-05,0,0.113,-8.101,1,0.0303,171.93,4,0.73
10474,543560,0.0261,0.759,0.675,0.0341,3,0.431,-14.366,0,0.0422,127.522,4,0.866
5615,262493,0.2269999999999999,0.83,0.546,0.0,1,0.1119999999999999,-5.716,1,0.295,182.973,4,0.535
1514,305746,0.172,0.209,0.412,0.15,0,0.0843,-9.733,1,0.0443,86.26,3,0.162
2083,137466,0.848,0.273,0.373,0.000241,5,0.188,-9.989,1,0.0341,77.59100000000001,4,0.147
11486,218049,0.539,0.68,0.547,0.0,8,0.0877,-4.762,1,0.0414,142.053,4,0.6409999999999999
610,261933,0.015,0.547,0.691,0.105,4,0.144,-13.553,0,0.0369,137.148,4,0.667
9734,311866,0.00728,0.625,0.726,0.0,10,0.318,-7.731,0,0.155,103.98,4,0.483
12014,206960,0.0558,0.412,0.8390000000000001,0.0,9,0.1159999999999999,-4.222,0,0.118,116.854,4,0.523
6403,220706,0.0819,0.546,0.895,1.42e-05,9,0.077,-7.189,1,0.0579,174.08900000000003,4,0.494
14267,230103,0.519,0.693,0.5710000000000001,0.0,1,0.0688,-8.456,1,0.732,122.104,5,0.373
6204,189230,9.53e-05,0.624,0.91,0.41,1,0.314,-5.197,1,0.0743,130.018,4,0.129
10109,337600,0.00954,0.395,0.8690000000000001,0.873,2,0.0656,-6.323,1,0.0401,175.035,4,0.0367
15968,216666,0.217,0.675,0.885,0.0,1,0.086,-4.432,0,0.0436,97.03,4,0.768
4578,206626,0.123,0.444,0.627,0.0,7,0.0795,-8.744,0,0.252,98.21,3,0.359
5536,238640,0.0408,0.746,0.67,0.1939999999999999,0,0.133,-5.072,1,0.0594,125.016,4,0.629
12402,207029,0.579,0.503,0.741,1.49e-06,4,0.0712,-5.127999999999999,1,0.047,88.335,3,0.4579999999999999
5720,192294,0.0003129999999999,0.498,0.862,0.00941,7,0.352,-6.02,0,0.0589,128.034,4,0.47
5643,161906,0.52,0.711,0.8029999999999999,8.37e-06,0,0.0987,-4.58,1,0.124,182.92,4,0.787
3651,168999,0.0219,0.8809999999999999,0.6629999999999999,2.42e-06,8,0.0927,-6.064,0,0.233,151.034,4,0.742
12202,241666,0.00658,0.909,0.826,0.0,1,0.366,-3.17,1,0.233,107.012,4,0.371
15654,211720,0.00648,0.551,0.741,0.00603,8,0.0707,-4.245,1,0.0289999999999999,79.984,4,0.3989999999999999
3507,156695,0.1989999999999999,0.73,0.86,0.00182,7,0.322,-3.532,1,0.191,129.952,4,0.647
357,214080,0.579,0.601,0.574,1.14e-05,2,0.216,-8.166,1,0.03,147.964,4,0.8
9482,212853,4.63e-05,0.471,0.847,0.903,6,0.645,-4.758,0,0.0371,125.98,4,0.446
3927,247480,0.7829999999999999,0.608,0.727,3.86e-06,3,0.515,-7.715,1,0.0709,127.172,4,0.835
1921,235266,0.17,0.618,0.741,0.0,2,0.0822,-3.95,1,0.031,118.984,4,0.296
3097,121346,0.073,0.754,0.342,0.0,10,0.193,-8.677,0,0.0991,128.981,4,0.423
1343,207586,0.5539999999999999,0.5720000000000001,0.433,7.37e-05,5,0.108,-8.086,1,0.0294,145.375,4,0.504
7306,202718,0.0361,0.735,0.637,0.0,5,0.0433,-6.362,0,0.039,103.007,4,0.5670000000000001
8113,257360,0.00456,0.867,0.517,0.000339,11,0.0864,-13.222,0,0.0875,133.148,4,0.866
13135,217148,0.442,0.838,0.609,1.99e-06,8,0.0742,-5.865,1,0.0446,102.988,4,0.609
17770,250158,0.655,0.725,0.8079999999999999,6.12e-05,4,0.114,-6.049,0,0.111,96.961,4,0.7190000000000001
13669,223933,0.273,0.856,0.462,0.0,10,0.11,-7.478,1,0.059,108.012,4,0.7140000000000001
18077,276706,0.0209,0.239,0.6970000000000001,0.8390000000000001,4,0.13,-12.747,1,0.0617,96.022,3,0.187
16827,237140,0.0334,0.5579999999999999,0.733,0.00193,8,0.193,-6.65,1,0.0693,89.992,4,0.173
18408,197329,0.114,0.66,0.625,0.000233,8,0.172,-7.122999999999999,0,0.0689,100.025,4,0.283
5484,213706,0.0116,0.632,0.8759999999999999,0.0,7,0.0537,-5.21,1,0.0276,140.967,4,0.738
18178,165000,0.162,0.518,0.899,0.0,10,0.191,-3.314,1,0.0771,128.032,4,0.488
6102,169714,0.00203,0.519,0.908,0.91,1,0.494,-4.002,1,0.0859,140.11,4,0.177
15305,262079,0.302,0.782,0.726,2.74e-06,0,0.0664,-4.752,1,0.0363,156.148,4,0.945
2769,148480,0.0011,0.415,0.782,0.0,2,0.14,-6.745,1,0.0461,135.029,4,0.564
4887,208133,0.00582,0.289,0.841,0.00771,8,0.267,-4.33,1,0.146,183.17,3,0.3989999999999999
1645,233079,0.000432,0.5710000000000001,0.954,0.0014,2,0.0579999999999999,-3.399,0,0.0464,123.051,4,0.53
6865,128199,0.488,0.251,0.868,7.34e-06,1,0.8140000000000001,-2.685,1,0.128,177.13,4,0.599
7478,181538,0.192,0.857,0.767,0.0,5,0.16,-4.794,0,0.4429999999999999,149.954,4,0.574
16951,249304,0.579,0.542,0.4679999999999999,0.104,10,0.1119999999999999,-7.796,1,0.0265,130.829,4,0.252
11187,236426,0.0387,0.488,0.795,0.0,9,0.0452,-4.157,0,0.0336,107.846,4,0.8029999999999999
8858,199640,0.000171,0.6409999999999999,0.84,0.00179,0,0.109,-6.044,1,0.0279,112.99,4,0.545
8186,188438,0.0057799999999999,0.7909999999999999,0.7929999999999999,0.0268,2,0.25,-7.546,1,0.0617,123.97,4,0.895
2997,254000,0.0526,0.7040000000000001,0.64,0.307,8,0.155,-6.697,0,0.0403,94.077,4,0.555
6585,225853,1.8e-06,0.158,0.951,0.00922,1,0.0948,-3.674,1,0.0901,94.36,4,0.25
2315,238000,0.184,0.7340000000000001,0.7440000000000001,0.0,9,0.181,-8.103,0,0.0391,117.651,4,0.961
13769,183307,0.00571,0.71,0.8290000000000001,0.0,0,0.0795,-5.33,1,0.184,110.043,4,0.473
17518,182989,0.0204,0.772,0.483,0.77,11,0.23,-5.87,0,0.0414,138.031,4,0.186
18561,224343,0.0898,0.456,0.579,2.48e-06,0,0.0992,-5.665,1,0.0311,147.28,4,0.1639999999999999
3126,180386,0.371,0.5579999999999999,0.5589999999999999,7.49e-06,6,0.109,-9.222,1,0.0959,78.558,4,0.62
8465,206200,0.0129,0.599,0.957,7.06e-05,11,0.155,-5.763999999999999,1,0.188,103.68,4,0.489
11764,215786,0.0729,0.659,0.7120000000000001,3.04e-05,7,0.367,-5.61,0,0.0782,101.034,4,0.2019999999999999
11877,210431,0.188,0.833,0.5670000000000001,0.0,7,0.0999,-5.16,0,0.1,127.995,4,0.203
9755,226160,0.0408,0.648,0.738,0.0,6,0.292,-5.882999999999999,0,0.247,159.145,4,0.603
1351,174373,0.8079999999999999,0.529,0.0964,0.0628,0,0.7090000000000001,-22.052,1,0.0459,151.286,4,0.142
7802,241600,0.368,0.54,0.677,0.0,9,0.2239999999999999,-6.349,1,0.0286,98.339,4,0.748
5822,303506,0.4429999999999999,0.584,0.442,0.614,9,0.158,-10.994000000000002,0,0.0249,105.025,4,0.36
8224,152160,0.626,0.703,0.478,0.0,7,0.113,-8.062000000000001,1,0.0441,117.562,4,0.7340000000000001
1209,196893,0.00143,0.632,0.639,0.0,5,0.221,-5.938,1,0.0259,95.506,4,0.733
640,275986,0.114,0.677,0.509,0.0134,5,0.0659,-7.472,1,0.0252,93.042,4,0.525
5744,220320,0.0923,0.503,0.5820000000000001,3.7e-05,3,0.09,-8.173,0,0.069,125.665,4,0.149
17044,186872,0.0414,0.902,0.8190000000000001,0.0,1,0.106,-3.321,1,0.317,89.0,4,0.746
10339,307866,0.574,0.537,0.462,9.75e-05,6,0.108,-7.501,1,0.0289,136.634,4,0.356
7953,277788,0.000176,0.654,0.607,0.8640000000000001,5,0.255,-8.047,1,0.0394,143.941,4,0.499
8129,258000,0.000674,0.251,0.954,0.000132,6,0.0975,-2.879,1,0.0691,191.05900000000003,4,0.264
2465,269268,0.1119999999999999,0.492,0.489,0.00172,0,0.0911,-7.853,1,0.042,163.99599999999998,4,0.0348
14789,244291,0.0105,0.667,0.875,3.46e-06,11,0.336,-5.274,0,0.122,110.029,4,0.715
2412,217573,0.00437,0.667,0.818,0.7609999999999999,8,0.288,-9.149,0,0.0594,136.957,4,0.7609999999999999
16444,166605,0.258,0.74,0.613,0.00372,8,0.123,-4.88,1,0.145,75.023,4,0.473
2797,163880,0.0148,0.439,0.971,1.34e-05,11,0.255,-5.855,0,0.177,118.369,4,0.24
18008,211960,0.0311,0.654,0.726,6.35e-05,10,0.0618,-3.803,0,0.0401,103.987,4,0.728
4251,214344,0.00532,0.5529999999999999,0.769,3.54e-06,5,0.214,-4.47,1,0.0316,127.947,4,0.327
17174,302004,0.0283,0.838,0.765,1.5e-05,7,0.0779,-6.299,1,0.28,137.767,4,0.635
8329,221099,0.0388,0.589,0.852,0.000248,2,0.286,-4.839,1,0.0308,153.048,4,0.942
1576,266773,0.0023899999999999,0.429,0.6609999999999999,0.00013,11,0.2339999999999999,-7.227,1,0.0281,173.365,4,0.285
8408,278706,0.000319,0.649,0.8959999999999999,1.19e-05,10,0.102,-2.704,0,0.0559999999999999,90.009,4,0.924
13361,122777,0.985,0.615,0.0955,0.966,3,0.103,-20.174,1,0.0498,81.2,4,0.2
8780,200338,0.0323,0.482,0.4529999999999999,0.00243,0,0.149,-8.863999999999999,1,0.059,134.799,4,0.17
16758,162066,0.888,0.677,0.444,0.00821,7,0.147,-17.602,1,0.136,109.829,4,0.53
7759,240026,0.0278,0.725,0.64,0.0,5,0.099,-7.905,0,0.332,166.02900000000002,3,0.915
18029,237853,0.00609,0.408,0.7070000000000001,0.000486,7,0.181,-7.494,1,0.0501,111.503,4,0.412
10831,423061,0.00437,0.736,0.472,0.0205,8,0.103,-10.373,0,0.0431,117.999,4,0.195
17075,180182,0.2289999999999999,0.428,0.4029999999999999,0.0,5,0.22,-5.914,0,0.209,95.387,5,0.133
15905,230453,0.165,0.6809999999999999,0.594,3.49e-06,7,0.134,-7.028,1,0.282,186.054,4,0.535
10986,223636,0.601,0.594,0.5379999999999999,0.0,10,0.1159999999999999,-10.659,0,0.426,176.27900000000002,4,0.419
8245,163053,0.4589999999999999,0.624,0.61,0.00435,0,0.271,-9.186,0,0.0543,82.65,4,0.759
17581,312820,0.00513,0.8340000000000001,0.73,0.0,8,0.124,-3.714,1,0.222,155.00799999999998,4,0.446
11780,230439,0.162,0.71,0.8140000000000001,0.0,10,0.16,-4.575,1,0.0561,155.02,4,0.7140000000000001
7099,194440,0.0102,0.7809999999999999,0.2769999999999999,0.7759999999999999,9,0.111,-14.314,0,0.0633,120.03,3,0.251
9548,248964,0.94,0.365,0.273,0.431,4,0.109,-16.526,0,0.038,132.285,5,0.238
13356,161596,0.973,0.508,0.0182,0.906,7,0.1119999999999999,-19.991,1,0.0469,71.952,5,0.275
17254,235213,0.0588,0.7190000000000001,0.967,0.000249,0,0.206,-2.435,1,0.0552,79.505,4,0.964
8629,225134,0.000668,0.804,0.456,0.0,8,0.31,-7.44,1,0.0468,130.014,4,0.165
5251,185013,0.038,0.628,0.536,1.23e-05,4,0.115,-10.905,0,0.0324,74.862,4,0.7040000000000001
12831,224997,0.465,0.764,0.6559999999999999,0.0231,6,0.111,-9.426,0,0.288,127.972,4,0.451
3992,215400,0.000248,0.513,0.905,0.00117,10,0.1119999999999999,-3.781,1,0.0939,150.727,4,0.5660000000000001
1235,152000,0.13,0.733,0.63,0.0,11,0.162,-4.296,1,0.395,149.989,4,0.8320000000000001
16043,246973,0.0946,0.688,0.578,0.0,11,0.303,-7.547000000000001,0,0.36,78.024,4,0.621
15722,186746,0.0118,0.515,0.74,8.99e-05,3,0.0602,-5.528,1,0.045,114.903,4,0.522
4480,197005,0.6759999999999999,0.589,0.6509999999999999,0.674,8,0.191,-7.107,0,0.0957,83.829,4,0.34
15494,207080,0.042,0.665,0.653,0.00801,7,0.11,-6.158,1,0.0393,176.688,4,0.18
14651,155318,0.608,0.655,0.8170000000000001,0.0,1,0.0463,-4.553999999999999,0,0.422,87.64299999999999,4,0.917
9496,179893,0.00115,0.5479999999999999,0.908,0.0,6,0.0964,-4.042,1,0.0289,130.248,4,0.3979999999999999
2011,188466,0.6629999999999999,0.505,0.155,0.0,10,0.1009999999999999,-12.959,1,0.0336,79.221,4,0.4629999999999999
17978,195088,0.0634,0.637,0.911,8.8e-05,1,0.366,-4.217,1,0.4589999999999999,127.996,4,0.782
6461,264493,0.0338,0.5660000000000001,0.755,0.0,11,0.315,-5.526,1,0.0368,101.006,4,0.445
10346,216706,0.0838,0.7509999999999999,0.731,0.0,6,0.0556,-4.419,0,0.0308,97.007,4,0.973
